,tag,text_message
81,1,urgent  your mobile number has been awarded with a £2000 prize guaranteed  call 09061790121 from land line  claim 3030  valid 12hrs only 150ppm
82,1,1000 s of girls many local 2 u who r virgins 2 this   r ready 2 4fil ur every sexual need  can u 4fil theirs  text cute to 69911 £1 50p  m 
83,0,nope  since ayo travelled  he has forgotten his guy
84,0,hey tmr maybe can meet you at yck
85,0,ok i m coming home now 
86,0,u called dad oredi   
87,0,alright  i ll head out in a few minutes  text me where to meet you
88,0, deep sigh      i miss you         i am really surprised you haven t gone to the net cafe yet to get to me     don t you miss me 
89,0,will be office around 4 pm  now i am going hospital 
90,1,asked 3mobile if 0870 chatlines inclu in free mins  india cust servs sed yes  l8er got mega bill  3 dont care  bailiff due in days  i o £250 3 want £800
91,0,yup bathe liao   
92,0,i am getting threats from your sales executive shifad as i raised complaint against him  its an official message 
93,0,s this will increase the chance of winning 
94,0,how are you doing  how s the queen  are you going for the royal wedding
95,0,dear reached railway  what happen to you
96,0,probably gonna swing by in a wee bit
97,0,k k pa had your lunch aha 
98,0,whom you waited for yesterday
99,1,urgent urgent  we have 800 free flights to europe to give away  call b4 10th sept   take a friend 4 free  call now to claim on 09050000555  ba128nnfwfly150ppm
100,1,for ur chance to win a £250 wkly shopping spree txt  shop to 80878  t s c s www txt 2 shop com custcare 08715705022  1x150p wk
101,0,ok give me 5 minutes i think i see her  btw you re my alibi  you were cutting my hair the whole time 
102,0,at home by the way
103,0,have a good evening  ttyl
104,0,am watching house €“ very entertaining €“ am getting the whole hugh laurie thing €“ even with the stick €“ indeed especially with the stick 
105,0,but my family not responding for anything  now am in room not went to home for diwali but no one called me and why not coming  it makes me feel like died 
106,0,so many people seems to be special at first sight  but only very few will remain special to you till your last sight   maintain them till life ends   take cr da
107,0,she s good  how are you  where r u working now
108,0,ya i knw u vl giv  its ok thanks kano  anyway enjoy wit ur family wit 1st salary        
109,0,lol you forgot it eh   yes  i ll bring it in babe
110,0,wow so healthy  old airport rd lor  cant thk of anything else  but i ll b bathing my dog later 
111,1,this is the 2nd time we have tried to contact u  u have won the £1450 prize to claim just call 09053750005 b4 310303  t cs stop sms 08718725756  140ppm
112,0,have got   few things to do  may be in   pub later 
113,0,wat u doing now 
114,0,i m a guy  browsin is compulsory
115,0,no i am not having not any movies in my laptop
116,0,what should i eat fo lunch senor
117,0,thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh  ex tata aig who joined tissco tayseer 
118,0,no i m not gonna be able to     too late notice     i ll be home in a few weeks anyway     what are the plans
119,0,ah poor baby hope urfeeling bettersn luv  probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx 
120,0,please dont say like that  hi hi hi
121,0,really  i crashed out cuddled on my sofa 
122,0,dont show yourself  how far  put new pictures up on facebook 
123,0,i know  grumpy old people  my mom was like you better not be lying  then again i am always the one to play jokes   
124,0,boo i m on my way to my moms  she s making tortilla soup  yummmm
125,0,what not under standing 
126,0,so you think i should actually talk to him  not call his boss in the morning  i went to this place last year and he told me where i could go and get my car fixed cheaper  he kept telling me today how much he hoped i would come back in  how he always regretted not getting my number  etc 
127,0,pls tell nelson that the bb s are no longer comin  the money i was expecting aint coming
128,0,i didnt get anything da
129,0,i want snow  it s just freezing and windy 
130,0,bishan lar nearer    no need buy so early cos if buy now i gotta park my car   
131,0,you stayin out of trouble stranger  saw dave the other day he’s sorted now still with me bloke when u gona get a girl mr ur mum still thinks we will get 2getha  
132,0,i ve got      any way i could pick up 
133,1,fancy a shag  i do interested  sextextuk com txt xxuk suzy to 69876  txts cost 1 50 per msg  tncs on website  x
134,0,u can call me now   
135,0,eatin my lunch   
136,0,what will we do in the shower  baby 
137,0,leave it wif me lar    u wan to carry meh so heavy    is da num 98321561 familiar to u 
138,0,no just send to you  bec you in temple na 
139,0,after completed degree  there is no use in joining finance 
140,0,hi  you just spoke to maneesha v  we d like to know if you were satisfied with the experience  reply toll free with yes or no 
141,0,alright tyler s got a minor crisis and has to be home sooner than he thought so be here asap
142,0,do i  i thought i put it back in the box
143,0,i have many dependents
144,0,once a fishrman woke early in d mrng  it was very dark  he waited a while   found a sack ful of stones  he strtd throwin thm in2 d sea 2 pass time  atlast he had jus 1stone  sun rose up   he found out tht those r nt stones  those were diamonds  moral dont wake up early in d mrng   good night
145,0,hello how u doing what u been up 2 when will u b moving out of the flat  cos i will need to arrange to pick up the lamp  etc  take care  hello caroline 
146,0,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
147,0,jus chillaxin  what up
148,0,no break time one    how    i come out n get my stuff fr u 
149,1,dear dave this is your final notice to collect your 4  tenerife holiday or  5000 cash award  call 09061743806 from landline  tcs sae box326 cw25wx 150ppm
150,0,ok    let u noe when i leave my house 
151,0,i ve been searching for the right words to thank you for this breather  i promise i wont take your help for granted and will fulfil my promise  you have been wonderful and a blessing at all times 
152,0,midnight at the earliest
153,0,pls ask macho how much is budget for bb bold 2 is cos i saw a new one for     dollars 
154,0,u should make a fb list
155,0,princess  is your kitty shaved or natural 
156,0,ahhhh   just woken up had a bad dream about u tho so i dont like u right now    i didnt know anything about comedy night but i guess im up for it 
157,0,he s an adult and would learn from the experience  there s no real danger  i just dont like peeps using drugs they dont need  but no comment
158,1,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094565
159,0,you know  wot people wear  t shirts  jumpers  hat  belt  is all we know  we r at cribbs
160,0,me fine  absolutly fine
161,0,how much are we getting 
162,0,did you try making another butt 
163,1, 123 congratulations   in this week s competition draw u have won the £1450 prize to claim just call 09050002311 b4280703  t cs stop sms 08718727868  over 18 only 150ppm
164,0,i am sorry it hurt you 
165,1,show ur colours  euro 2004 2 4 1 offer  get an england flag   3lions tone on ur phone  click on the following service message for info 
166,0,ok  c u then 
167,0,ok leave no need to ask
168,0,pansy  you ve been living in a jungle for two years  its my driving you should be more worried about 
169,0,i remain unconvinced that this isn t an elaborate test of my willpower
170,1,you have been specially selected to receive a 2000 pound award  call 08712402050 before the lines close  cost 10ppm  16   t cs apply  ag promo
171,0,sorry i missed you babe  i was up late and slept in  i hope you enjoy your driving lesson  boytoy  i miss you too      teasing kiss 
172,1,8007 25p 4 alfie moon s children in need song on ur mob  tell ur m8s  txt tone charity to 8007 for nokias or poly charity for polys  zed 08701417012 profit 2 charity 
173,0,mm have some kanji dont eat anything heavy ok
174,0,i dont have any of your file in my bag  i was in work when you called me i  ll tell you if i find anything in my room 
175,0,ya very nice     be ready on thursday
176,0,anything lar   
177,0,oh thanks a lot  i already bought 2 eggs   
178,0,i know complain num only  bettr directly go to bsnl offc nd apply for it  
179,0,no no  i will check all rooms befor activities
180,0,no pic  please re send 
181,0,cthen i thk shd b enuff   still got conclusion n contents pg n references   i ll b doing da contents pg n cover pg  
182,0,i donno if they are scorable
183,0,send ur birthdate with month and year  i will tel u ur life partner s name  and the method of calculation  reply must 
184,0,boo babe  u enjoyin yourjob  u seemed 2 b gettin on well hunny hope ure ok take care   i’llspeak 2u soonlots of loveme xxxx 
185,0,have you finished work yet    
186,1,sunshine quiz wkly q  win a top sony dvd player if u know which country the algarve is in  txt ansr to 82277  £1 50 sp tyrone
187,1,send a logo 2 ur lover   2 names joined by a heart  txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo  pobox36504w45wq txtno 4 no ads 150p 
188,0,gud mrng dear hav a nice day
189,0,you are a very very very very bad girl  or lady 
190,0,in e msg jus now  u said thanks for gift 
191,0,it s still not working  and this time i also tried adding zeros  that was the savings  the checking is    
192,0,aiyah e rain like quite big leh  if drizzling i can at least run home 
193,0,i have gone into get info bt dont know what to do
194,0,that s a shame  maybe cld meet for few hrs tomo 
195,1,urgent  call 09066612661 from landline  your complementary 4  tenerife holiday or £10 000 cash await collection sae t cs po box 3 wa14 2px 150ppm 18  sender  hol offer
196,0,yupz    i ve oredi booked slots 4 my weekends liao    
197,0,is that on the telly  no its brdget jones 
198,0,sorry man my account s dry or i would  if you want we could trade back half or i could buy some stuff with my credit card
199,1,well done  your 4  costa del sol holiday or £5000 await collection  call 09050090044 now toclaim  sae  tcs  pobox334  stockport  sk38xh  cost£1 50 pm  max10mins
200,1,free msg we billed your mobile number by mistake from shortcode 83332 please call 08081263000 to have charges refunded this call will be free from a bt landline
201,0,gal n boy walking in d park  gal can i hold ur hand  boy y  do u think i would run away  gal no  jst wana c how it feels walking in heaven with an prince  gn   
202,0,come to me  slave  your doing it again     going into your shell and unconsciously avoiding me     you are making me unhappy    
203,0,if he started searching he will get job in few days he have great potential and talent 
204,0,as in missionary hook up  doggy hook up  standing    
205,0,ok anyway no need to change with what you said
206,0,   great loxahatchee xmas tree burning update  you can totally see stars here
207,0,hope things went well at  doctors     reminds me i still need 2go did u c d little thing i left in the lounge 
208,0,ello babe u ok 
209,0,u go home liao  ask dad to pick me up at 6   
210,0,u say until like dat i dun buy ericsson oso cannot oredi lar   
211,0,oooh i got plenty of those 
212,0,what s a feathery bowa  is that something guys have that i don t know about 
213,0,aight i ll grab something to eat too  text me when you re back at mu
214,0,wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal    
215,0,sun ah    thk mayb can if dun have anythin on    thk have to book e lesson    e pilates is at orchard mrt u noe hor     
216,0,i don t know but i m raping dudes at poker
217,0,when is school starting  where will you stay  what s the weather like  and the food  do you have a social support system like friends in the school  all these things are important 
218,0,mm not entirely sure i understood that text but hey  ho  which weekend 
219,1,last chance  claim ur £150 worth of discount vouchers today  text shop to 85023 now  savamob  offers mobile  t cs savamob pobox84  m263uz  £3 00 sub  16
220,0,you are gorgeous  keep those pix cumming    thank you 
221,0,prabha  i m soryda  realy  frm heart i m sory
222,0,it took mr owl 3 licks
223,0,no no  i will check all rooms befor activities
224,0,alright took the morphine  back in yo 
225,0,no   i got rumour that you going to buy apartment in chennai   
226,0,you ve already got a flaky parent  it snot supposed to be the child s job to support the parent   not until they re the ride age anyway  i m supposed to be there to support you  and now i ve hurt you  unintentional  but hurt nonetheless 
227,0,lol ok your forgiven   
228,0,hi   finally i completed the course  
229,1,jamster  to get your free wallpaper text heart to 88888 now  t c apply  16 only  need help  call 08701213186 
230,0,at bruce b downs   fletcher now
231,1,urgent  call 09066350750 from your landline  your complimentary 4  ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150 ppm 18  
232,0,yes i posted a couple of pics on fb  there s still snow outside too  i m just waking up   
233,0,well  balls  time to make calls
234,1,how about getting in touch with folks waiting for company  just txt back your name and age to opt in  enjoy the community  150p sms 
235,0,awesome  be there in a minute
236,0,hey i ve booked the 2 lessons on sun liao   
237,0,s  antha num corrct dane
238,0,is it ok if i stay the night here  xavier has a sleeping bag and i m getting tired
239,0,o  well uv causes mutations  sunscreen is like essential thesedays
240,0,boooo you always work  just quit 
241,0,can you please ask macho what his price range is  does he want something new or used plus it he only interfued in the blackberry bold     or any bb
242,0,in which place i can get rooms cheap   
243,0,so why didnt you holla 
244,0,in case you wake up wondering where i am  i forgot i have to take care of something for grandma today  should be done before the parade
245,0,hai priya are you right  what doctor said pa  where are you 
246,0,is she replying  has boye changed his phone number
247,0,at what time are you coming 
248,0,i hope your pee burns tonite 
249,1,big brother alert  the computer has selected u for 10k cash or  150 voucher  call 09064018838  ntt po box cro1327 18  bt landline cost 150ppm mobiles vary
250,1,for sale   arsenal dartboard  good condition but no doubles or trebles 
251,0,4 tacos   1 rajas burrito  right 
252,0,at the funeral home with audrey and dad
253,0,hurry home u big butt  hang up on your last caller if u have to  food is done and i m starving  don t ask what i cooked 
254,0,i place all ur points on e cultures module already 
255,0,goin to workout lor    muz lose e fats    
256,0,great escape  i fancy the bridge but needs her lager  see you tomo 
257,0,babe   how goes that day   what are you doing   where are you   i sip my cappuccino and think of you  my love     i send a kiss to you from across the sea
258,0,what is this  hex  place you talk of  explain 
259,0,he s just gonna worry for nothing  and he won t give you money its no use 
260,0,ok   is any problem to u frm him  wats matter 
261,0,i am taking half day leave bec i am not well
262,0,wishing you and your family merry x mas and happy new year in advance  
263,0,yes obviously  but you are the eggs pert and the potato head    speak soon  
264,0,wen did you get so spiritual and deep  that s great
265,0,now am free call me pa 
266,0,dont know you bring some food
267,0,in which place do you want da 
268,0,then why you came to hostel 
269,0,oh ya ya  i remember da   
270,0,hello  just got here  st andrews boy its a long way  its cold  i will keep you posted
271,0,long time  you remember me today 
272,0,arun can u transfr me d amt
273,0,are you staying in town  
274,0,cant believe i said so many things to you this morning when all i really wanted to say was good morning  i love you  have a beautiful morning  see you in the library later 
275,0, came to look at the flat  seems ok  in his 50s    is away alot wiv work  got woman coming at 6 30 too 
276,1,camera   you are awarded a sipix digital camera  call 09061221066 fromm landline  delivery within 28 days
277,0,purity of friendship between two is not about smiling after reading the forwarded message  its about smiling just by seeing the name  gud evng
278,0,yup next stop 
279,0,well done  blimey  exercise  yeah  i kinda remember wot that is  hmm  
280,1,urgent  this is the 2nd attempt to contact u u have won £1000call 09071512432 b4 300603t csbcm4235wc1n3xx callcost150ppmmobilesvary  max£7  50
281,0,k  if u bored up just come to my home  
282,0,when did i use soc    i use it only at home    u dunno how 2 type it in word ar   
283,0,unlimited texts  limited minutes 
284,0,i m going out to buy mum s present ar 
285,0,haha    really oh no    how  then will they deduct your lesson tmr 
286,0,don no da  whats you plan 
287,0,i m very happy for you babe   woo hoo party on dude 
288,0,and is there a way you can send shade s stuff to her  and she has been wonderful too 
289,0,sorry man  my stash ran dry last night and i can t pick up more until sunday
290,0,you still at the game 
291,0,cheers for the card     is it that time of year already 
292,0,oh shut it  omg yesterday i had a dream that i had 2 kids both boys  i was so pissed  not only about the kids but them being boys  i even told mark in my dream that he was changing diapers cause i m not getting owed in the face 
293,0,carlos says he ll be at mu in     minutes
294,0,a boy loved a gal  he propsd bt she didnt mind  he gv lv lttrs  bt her frnds threw thm  again d boy decided 2 aproach d gal   dt time a truck was speeding towards d gal  wn it was about 2 hit d girl d boy ran like hell n saved her  she asked  hw cn u run so fast   d boy replied boost is d secret of my energy n instantly d girl shouted our energy n thy lived happily 2gthr drinking boost evrydy moral of d story   i hv free msgs d    gud ni8
295,0,i m home  my love     if your still awake      loving kiss 
296,0,tell your friends what you plan to do on valentines day   url
297,0,ok lor u reaching then message me 
298,0,booked ticket for pongal 
299,0,watching tv lor  nice one then i like lor 
300,0,hi missed your call and my mumhas beendropping red wine all over theplace  what is your adress 
301,1,guess what  somebody you know secretly fancies you  wanna find out who it is  give us a call on 09065394514 from landline datebox1282essexcm61xn 150p min 18
302,0,oh yeah clearly it s my fault
303,0,mmm     merry christmas to me
304,0,call to the number which is available in appointment  and ask to connect the call to waheed fathima 
305,0,i promise to take good care of you  princess  i have to run now  please send pics when you get a chance  ttyl 
306,0,haha but no money leh    later got to go for tuition    haha and looking for empty slots for driving lessons
307,1,your free ringtone is waiting to be collected  simply text the password mix to 85069 to verify  get usher and britney  fml  po box 5249  mk17 92h  450ppw 16
308,0,christmas is an occasion that is celebrated as a reflection of ur    values     desires     affections     traditions     have an ideal christmas   
309,0,may i call you later pls
310,0,oh  u must have taken your real valentine out shopping first 
311,0,2marrow only  wed at     to 2 aha 
312,0,for me the love should start with attraction i should feel that i need her every time around me she should be the first thing which comes in my thoughts i would start the day and end it with her she should be there every time i dream love will be then when my every breath has her name my life should happen around her my life will be named to her i would cry for her will give all my happiness and take all her sorrows i will be ready to fight with anyone for her i will be in love when i will be doing the craziest things for her love will be when i don t have to proove anyone that my girl is the most beautiful lady on the whole planet i will always be singing praises for her love will be when i start up making chicken curry and end up makiing sambar life will be the most beautiful then will get every morning and thank god for the day because she is with me i would like to say a lot  will tell later  
313,0,love has one law  make happy the person you love  in the same way friendship has one law  never make ur friend feel alone until you are alive     gud night
314,0,well then you have a great weekend 
315,1,hello darling how are you today  i would love to have a chat  why dont you tell me what you look like and what you are in to sexy 
316,0,i m working technical support   voice process networking field 
317,0,i am seeking a lady in the street and a freak in the sheets  is that you 
318,0,wat time liao  where still got 
319,0,each moment in a day has its own value morning brings hope afternoon brings faith evening brings luv night brings rest wish u find them all today good morning
320,0,have you emigrated or something  ok maybe 5 30 was a bit hopeful   
321,0,i ll always be there  even if its just in spirit  i ll get a bb soon  just trying to be sure i need it 
322,0,my friends use to call the same 
323,0,k  k  what are detail you want to transfer acc no enough 
324,0,the    g that i saw a few days ago  the guy wants sell wifi only for     and with 3g for      that s why i blanked him 
325,0,i think it s all still in my car
326,0,lol i know  hey someone did a great inpersonation of flea on the forums  i love it 
327,1,sexy sexy cum and text me im wet and warm and ready for some porn  u up for some fun  this msg is free recd msgs 150p inc vat 2 cancel text stop
328,0,in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for  gudni8
329,0,yo im right by yo work
330,0,in fact when do you leave  i think addie goes back to school tues or wed
331,0,hey i booked the kb on sat already    what other lessons are we going for ah  keep your sat night free we need to meet and confirm our lodging 
332,1,text   meet someone sexy today  u can find a date or even flirt its up to u  join 4 just 10p  reply with name   age eg sam 25  18  msg recd thirtyeight pence
333,1,freemsg  1 month unlimited free calls  activate smartcall txt  call to no  68866  subscriptn3gbp wk unlimited calls help  08448714184 stop txt stop landlineonly
334,0,i ll get there tomorrow and send it to you
335,0,  ow u dey i paid 60 400thousad i told  u would call   
336,0,k i ll take care of it
337,0,watching tv now  i got new job   
338,0,symptoms when u are in love  1 u like listening songs 2 u get stopped where u see the name of your beloved 3 u won t get angry when your
339,0,dude got a haircut  now its breezy up there
340,0,and maybe some pressies
341,0,haha good to hear  i m officially paid and on the market for an 8th
342,0,yeah  probably earlier than that
343,0,im done  just studyn in library
344,0,yo  call me when you get the chance  a friend of mine wanted me to ask you about a big order
345,0,i ll probably be around mu a lot
346,0,is your hamster dead  hey so tmr i meet you at 1pm orchard mrt  
347,0,wait     min  
348,0,sweet heart how are you 
349,0,in the end she might still vomit but its okay  not everything will come out 
350,0,that s very rude  you on campus 
351,0,so do you have samus shoulders yet
352,0,ok i msg u b4 i leave my house 
353,1,what do u want for xmas  how about 100 free text messages   a new video phone with half price line rental  call free now on 0800 0721072 to find out more 
354,0,i dont have that much image in class 
355,0,my friend just got here and says he s upping his order by a few grams  he s got        when can you get here 
356,1,moby pub quiz win a £100 high street prize if u know who the new duchess of cornwall will be  txt her first name to 82277 unsub stop £1 50 008704050406 sp arrow
357,0,hi     my engagement has been fixd on    th of next month  i know its really shocking bt    hmm njan vilikkam    t ws al of a sudn    
358,1,you can stop further club tones by replying stop mix see my tone com enjoy  html for terms  club tones cost gbp4 50 week  mfl  po box 1146 mk45 2wt  2 3 
359,1,urgent this is our 2nd attempt to contact u  your £900 prize from yesterday is still awaiting collection  to claim call now 09061702893  acl03530150pm
360,0,yup i shd haf ard 10 pages if i add figures    u all got how many pages 
361,0,ok thanx   
362,0,aight  tomorrow around     it is
363,0,is toshiba portege m100 gd 
364,1,join the uk s horniest dogging service and u can have sex 2nite   just sign up and follow the instructions  txt entry to 69888 now  nyt ec2a 3lp msg 150p
365,0,thats cool  i am a gentleman and will treat you with dignity and respect 
366,0,sat right  okay thanks    
367,0,okie    thanx   
368,0,wife how she knew the time of murder exactly
369,1,thanks for your ringtone order  reference number x49  your mobile will be charged 4 50  should your tone not arrive please call customer services 09065989182  from   colour red text  colour txtstar
370,0,god picked up a flower and dippeditinadew  lovingly touched itwhichturnedinto u  and the he gifted tomeandsaid this friend is 4u
371,0,ah poop  looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
372,0,yes fine 
373,0,finally it has happened    aftr decades    beer is now cheaper than petrol  the goverment expects us to drink      but don t drive 
374,0,haven t eaten all day  i m sitting here staring at this juicy pizza and i can t eat it  these meds are ruining my life 
375,0,thankyou so much for the call  i appreciate your care 
376,0,k k  how is your sister kids 
377,0,sorry  i ll call later
378,0,do u konw waht is rael friendship im gving yuo an exmpel  jsut ese tihs msg   evrey splleing of tihs msg is wrnog   bt sitll yuo can raed it wihtuot ayn mitsake   goodnight   have a nice sleep  sweet dreams  
379,0,happy new years melody 
380,0,dear good morning how you feeling dear
381,0,all boys made fun of me today  ok i have no problem  i just sent one message just for fun
382,0,its ok   i just askd did u knw tht no 
383,0,u r the most beautiful girl ive ever seen  u r my baby come and c me in the common room
384,1,urgent  your mobile no 077xxx won a £2 000 bonus caller prize on 02 06 03  this is the 2nd attempt to reach you  call 09066362206 asap  box97n7qp  150ppm
385,0,well  i meant as opposed to my drunken night of before
386,0,dont think so  it turns off like randomlly within 5min of opening
387,1,you are being contacted by our dating service by someone you know  to find out who it is  call from your mobile or landline 09064017305 pobox75ldns7 
388,0,nothing  i meant that once the money enters your account here  the bank will remove its flat rate  someone transfered     to my account and    dollars got removed  so the banks differ and charges also differ be sure you trust the 9ja person you are sending account details to cos   
389,0,yoyyooo u know how to change permissions for a drive in mac  my usb flash drive
390,0,come aftr  decimal   now i m cleaning the house
391,0,sorry  it s a lot of friend of a friend stuff  i m just now about to talk to the actual guy who wants to buy
392,1,you have won a guaranteed £1000 cash or a £2000 prize  to claim yr prize call our customer service representative on 08714712394 between 10am 7pm
393,0,i wonder if you ll get this text 
394,0,i see  when we finish we have loads of loans to pay
395,0,sorry pa  i dont knw who ru pa 
396,0,neva mind it s ok  
397,0,i hope you know i m still mad at you 
398,0,sad story of a man   last week was my b day  my wife did nt wish me  my parents forgot n so did my kids   i went to work  even my colleagues did not wish  as i entered my cabin my pa said     happy b day boss       i felt special  she askd me 4 lunch  after lunch she invited me to her apartment  we went there  she said    do u mind if i go into the bedroom for a minute        ok    i sed in a sexy mood  she came out 5 minuts latr wid a cake   n my wife  my parents  my kidz  my friends n my colleagues  all screaming   surprise    and i was waiting on the sofa               naked    
399,1,urgent ur awarded a complimentary trip to eurodisinc trav  aco entry41 or £1000  to claim txt dis to 87121 18 6 £1 50 morefrmmob  shracomorsglsuplt 10  ls1 3aj
400,0,can u get pic msgs to your phone 
401,1,you 07801543489 are guaranteed the latests nokia phone  a 40gb ipod mp3 player or a £500 prize  txt word collect to no 83355  tc llc ny usa 150p mt msgrcvd18 
402,0,maybe westshore or hyde park village  the place near my house 
403,0,remind me how to get there and i shall do so
